Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
14-12-2023,17:47,14-12-2023,TESLA,US88160R1014,Ingreso Cambio de Divisa,,EUR,1813.48,EUR,1822.80,6e707c56-da43-4005-9061-d699bd403c87
14-12-2023,17:47,14-12-2023,TESLA,US88160R1014,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,9.32,6e707c56-da43-4005-9061-d699bd403c87
14-12-2023,17:47,14-12-2023,TESLA,US88160R1014,Venta 8 Tesla@250 USD (US88160R1014),,USD,2000.00,USD,2000.00,6e707c56-da43-4005-9061-d699bd403c87
07-12-2023,16:47,07-12-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1.361,15 EUR",,,,EUR,11.32,
07-12-2023,16:47,07-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,1361.15,EUR,1372.47,
07-12-2023,12:28,07-12-2023,VANGUARD FTSE ALL-WORLD HIGH,IE00BK5BR626,Costes de transacción y/o externos de DEGIRO,,EUR,-3.00,EUR,11.32,0f5f6555-970f-446d-9429-c892fef93840
07-12-2023,12:28,07-12-2023,VANGUARD FTSE ALL-WORLD HIGH,IE00BK5BR626,"Compra 23 Vanguard FTSE All-World High Dividend Yield UCITS ETF Acc@59,05 EUR (IE00BK5BR626)",,EUR,-1358.15,EUR,14.32,0f5f6555-970f-446d-9429-c892fef93840
06-12-2023,10:47,05-12-2023,,,Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1.364 EUR,,,,EUR,1372.47,
06-12-2023,10:47,05-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1364.00,EUR,8.47,
05-12-2023,15:26,05-12-2023,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,Costes de transacción y/o externos de DEGIRO,,EUR,-1.00,EUR,1372.47,e4b01bd2-76cd-4465-94a0-b4cf7e4e956c
05-12-2023,15:26,05-12-2023,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,Venta 13 Vanguard FTSE All-World UCITS ETF USD Dis@105 EUR (IE00B3RBWM25),,EUR,1365.00,EUR,1373.47,e4b01bd2-76cd-4465-94a0-b4cf7e4e956c
20-11-2023,17:33,20-11-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,49 EUR",,,,EUR,8.47,
20-11-2023,17:33,20-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.49,EUR,6.98,
18-11-2023,08:18,17-11-2023,,,Ingreso Cambio de Divisa,,EUR,1.49,EUR,8.47,
18-11-2023,08:18,17-11-2023,,,Retirada Cambio de Divisa,1.0942,USD,-1.63,USD,0.00,
17-11-2023,06:56,16-11-2023,APPLE INC,US0378331005,Dividendo,,USD,1.92,USD,1.63,
17-11-2023,06:56,16-11-2023,APPLE INC,US0378331005,Retención del dividendo,,USD,-0.29,USD,-0.29,
06-11-2023,16:47,06-11-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 153,9 EUR",,,,EUR,6.98,
06-11-2023,16:47,06-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,153.90,EUR,160.88,
06-11-2023,09:01,06-11-2023,CAIXABANK SA,ES0140609019,Spanish Transaction Tax,,EUR,-0.30,EUR,6.98,bad6f7f3-ef55-4f7a-86f5-31e4129c4029
06-11-2023,09:01,06-11-2023,CAIXABANK SA,ES0140609019,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,7.28,bad6f7f3-ef55-4f7a-86f5-31e4129c4029
06-11-2023,09:01,06-11-2023,CAIXABANK SA,ES0140609019,"Compra 40 CaixaBank SA@3,79 EUR (ES0140609019)",,EUR,-151.60,EUR,9.28,bad6f7f3-ef55-4f7a-86f5-31e4129c4029
03-11-2023,17:47,03-11-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 4,93 EUR",,,,EUR,160.88,
03-11-2023,17:47,03-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-4.93,EUR,155.95,
03-11-2023,08:35,02-11-2023,BANCO SANTANDER,ES0113900J37,Dividendo,,EUR,6.08,EUR,160.88,
03-11-2023,08:35,02-11-2023,BANCO SANTANDER,ES0113900J37,Retención del dividendo,,EUR,-1.15,EUR,154.80,
31-10-2023,10:02,30-10-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 930,58 EUR",,,,EUR,155.95,
31-10-2023,10:02,30-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,930.58,EUR,1086.53,
30-10-2023,19:45,30-10-2023,TESLA,US88160R1014,Ingreso Cambio de Divisa,1.0591,USD,983.50,USD,0.00,cde89d89-0ee5-407a-9d20-14ce5f48045f
30-10-2023,19:45,30-10-2023,TESLA,US88160R1014,Retirada Cambio de Divisa,,EUR,-928.58,EUR,155.95,cde89d89-0ee5-407a-9d20-14ce5f48045f
30-10-2023,19:45,30-10-2023,TESLA,US88160R1014,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,1084.53,cde89d89-0ee5-407a-9d20-14ce5f48045f
30-10-2023,19:45,30-10-2023,TESLA,US88160R1014,"Compra 5 Tesla@196,7 USD (US88160R1014)",,USD,-983.50,USD,-983.50,cde89d89-0ee5-407a-9d20-14ce5f48045f
30-10-2023,16:47,30-10-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1.062,34 EUR",,,,EUR,1086.53,
30-10-2023,16:47,30-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1062.34,EUR,24.19,
30-10-2023,14:47,30-10-2023,ISHARES S&P 500 INF TECH SECTOR UCITS,IE00B3WJKG14,Costes de transacción y/o externos de DEGIRO,,EUR,-1.00,EUR,1086.53,19bae60a-a3c4-4670-b9c4-74cf49c4ca34
30-10-2023,14:47,30-10-2023,ISHARES S&P 500 INF TECH SECTOR UCITS,IE00B3WJKG14,"Venta 45 iShares S&P 500 Inf Tech Sector UCITS ETF USD Acc@19,7 EUR (IE00B3WJKG14)",,EUR,886.50,EUR,1087.53,19bae60a-a3c4-4670-b9c4-74cf49c4ca34
30-10-2023,14:30,30-10-2023,ALLY FINANCIAL INC,US02005N1000,Retirada Cambio de Divisa,1.0629,USD,-190.08,USD,0.00,aa8aee75-6312-4ea4-ad86-1d58c7ab11d7
30-10-2023,14:30,30-10-2023,ALLY FINANCIAL INC,US02005N1000,Ingreso Cambio de Divisa,,EUR,178.84,EUR,201.03,aa8aee75-6312-4ea4-ad86-1d58c7ab11d7
30-10-2023,14:30,30-10-2023,ALLY FINANCIAL INC,US02005N1000,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,22.19,aa8aee75-6312-4ea4-ad86-1d58c7ab11d7
30-10-2023,14:30,30-10-2023,ALLY FINANCIAL INC,US02005N1000,"Venta 8 Ally Financial Inc@23,76 USD (US02005N1000)",,USD,190.08,USD,190.08,aa8aee75-6312-4ea4-ad86-1d58c7ab11d7
12-10-2023,16:47,12-10-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 7,78 EUR",,,,EUR,24.19,
12-10-2023,16:47,12-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-7.78,EUR,16.41,
12-10-2023,08:00,11-10-2023,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,Retención del dividendo,,EUR,-1.82,EUR,24.19,
12-10-2023,08:00,11-10-2023,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,Dividendo,,EUR,9.60,EUR,26.01,
04-10-2023,16:50,04-10-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 7,45 EUR",,,,EUR,16.41,
04-10-2023,16:50,04-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-7.45,EUR,8.96,
04-10-2023,10:20,03-10-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 266,56 EUR",,,,EUR,16.41,
