Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
16-07-2025,09:00,16-07-2025,SHELL PLC,GB00BP6MXD84,Costes de transacción y/o externos de DEGIRO,,EUR,"-4,90",EUR,"22,90",db1f8a08-ac18-4d87-a328-8aa73ba086b6
16-07-2025,09:00,16-07-2025,SHELL PLC,GB00BP6MXD84,"Compra 17 Shell PLC@30,35 EUR (GB00BP6MXD84)",,EUR,"-515,95",EUR,"27,80",db1f8a08-ac18-4d87-a328-8aa73ba086b6
15-07-2025,20:20,15-07-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 515,79 EUR",,,,EUR,"543,75",
15-07-2025,20:20,15-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"-515,79",EUR,"27,96",
15-07-2025,19:43,15-07-2025,CHEVRON CORP,US1667641005,Retirada Cambio de Divisa,"1,1624",USD,"-601,88",USD,"0,00",145d0949-4eec-452c-8cfe-7427a339cbc9
15-07-2025,19:43,15-07-2025,CHEVRON CORP,US1667641005,Ingreso Cambio de Divisa,,EUR,"517,79",EUR,"543,75",145d0949-4eec-452c-8cfe-7427a339cbc9
15-07-2025,19:43,15-07-2025,CHEVRON CORP,US1667641005,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"25,96",145d0949-4eec-452c-8cfe-7427a339cbc9
15-07-2025,19:43,15-07-2025,CHEVRON CORP,US1667641005,"Venta 4 Chevron Corp@150,47 USD (US1667641005)",,USD,"601,88",USD,"601,88",145d0949-4eec-452c-8cfe-7427a339cbc9
14-07-2025,04:13,14-07-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 12,85 EUR",,,,EUR,"27,96",
14-07-2025,04:13,14-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"-12,85",EUR,"15,11",
12-07-2025,06:37,11-07-2025,,,Ingreso Cambio de Divisa,,EUR,"12,85",EUR,"27,96",
12-07-2025,06:37,11-07-2025,,,Retirada Cambio de Divisa,"1,1718",USD,"-15,06",USD,"0,00",
11-07-2025,07:50,10-07-2025,VICI PROPERTIES INC,US9256521090,Dividendo,,USD,"6,49",USD,"15,06",
11-07-2025,07:50,10-07-2025,VICI PROPERTIES INC,US9256521090,Retención del dividendo,,USD,"-0,97",USD,"8,57",
11-07-2025,07:06,10-07-2025,ALTRIA GROUP INC.,US02209S1033,Retención del dividendo,,USD,"-1,68",USD,"9,54",
11-07-2025,07:06,10-07-2025,ALTRIA GROUP INC.,US02209S1033,Dividendo,,USD,"11,22",USD,"11,22",
08-07-2025,17:30,08-07-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 474,46 EUR",,,,EUR,"15,11",
08-07-2025,17:30,08-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"474,46",EUR,"489,57",
08-07-2025,16:57,08-07-2025,SALESFORCE.COM,US79466L3024,Ingreso Cambio de Divisa,"1,1663",USD,"551,02",USD,"0,00",4165164d-3909-4c64-9660-c17a1c6251ee
08-07-2025,16:57,08-07-2025,SALESFORCE.COM,US79466L3024,Retirada Cambio de Divisa,,EUR,"-472,46",EUR,"15,11",4165164d-3909-4c64-9660-c17a1c6251ee
