Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
26-03-2026,09:04,26-03-2026,ISHARES CORE EURO STOXX 50 UCITS ETF,IE0008471009,Costes de transacción y/o externos de DEGIRO,,EUR,"-3,00",EUR,"9,01",d791bd5d-0c03-4088-826b-9b78f0f32614
26-03-2026,09:04,26-03-2026,ISHARES CORE EURO STOXX 50 UCITS ETF,IE0008471009,"Compra 9 iShares Core EURO STOXX 50 UCITS ETF EUR Dist@57,03 EUR (IE0008471009)",,EUR,"-513,27",EUR,"12,01",d791bd5d-0c03-4088-826b-9b78f0f32614
25-03-2026,15:00,25-03-2026,,,flatex Deposit,,EUR,"400,00",EUR,"525,28",
18-03-2026,08:01,18-03-2026,,,Degiro Cash Sweep Transfer,,EUR,"-1,24",EUR,"125,28",
18-03-2026,08:01,18-03-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,24 EUR",,,,EUR,"126,52",
18-03-2026,06:48,17-03-2026,,,Ingreso Cambio de Divisa,,EUR,"1,24",EUR,"125,28",
18-03-2026,06:48,17-03-2026,,,Retirada Cambio de Divisa,"1,1570",USD,"-1,43",USD,"0,00",
17-03-2026,07:42,16-03-2026,ALPHABET INC CLASS C,US02079K1079,Retención del dividendo,,USD,"-0,25",USD,"1,43",
17-03-2026,07:42,16-03-2026,ALPHABET INC CLASS C,US02079K1079,Dividendo,,USD,"1,68",USD,"1,68",
16-03-2026,04:10,16-03-2026,,,Degiro Cash Sweep Transfer,,EUR,"-2,70",EUR,"124,04",
16-03-2026,04:10,16-03-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,7 EUR",,,,EUR,"126,74",
14-03-2026,06:52,13-03-2026,,,Ingreso Cambio de Divisa,,EUR,"2,70",EUR,"124,04",
14-03-2026,06:52,13-03-2026,,,Retirada Cambio de Divisa,"1,1445",USD,"-3,09",USD,"0,00",
13-03-2026,07:22,12-03-2026,MICROSOFT CORP,US5949181045,Dividendo,,USD,"3,64",USD,"3,09",
13-03-2026,07:21,12-03-2026,MICROSOFT CORP,US5949181045,Retención del dividendo,,USD,"-0,55",USD,"-0,55",
12-03-2026,08:14,12-03-2026,,,Degiro Cash Sweep Transfer,,EUR,"-3,78",EUR,"121,34",
12-03-2026,08:14,12-03-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 3,78 EUR",,,,EUR,"125,12",
12-03-2026,06:34,11-03-2026,,,Ingreso Cambio de Divisa,,EUR,"3,78",EUR,"121,34",
12-03-2026,06:34,11-03-2026,,,Retirada Cambio de Divisa,"1,1596",USD,"-4,38",USD,"0,00",
11-03-2026,07:17,10-03-2026,EXXON MOBIL CORP,US30231G1022,Dividendo,,USD,"5,15",USD,"4,38",
11-03-2026,07:17,10-03-2026,EXXON MOBIL CORP,US30231G1022,Retención del dividendo,,USD,"-0,77",USD,"-0,77",
02-03-2026,14:24,02-03-2026,,,Degiro Cash Sweep Transfer,,EUR,"-4,34",EUR,"117,56",
02-03-2026,14:24,02-03-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 4,34 EUR",,,,EUR,"121,90",
02-03-2026,07:18,27-02-2026,ISHARES CORE EURO STOXX 50 UCITS ETF,IE0008471009,Dividendo,,EUR,"4,34",EUR,"117,56",
23-02-2026,19:26,23-02-2026,,,Degiro Cash Sweep Transfer,,EUR,"12,50",EUR,"113,22",
23-02-2026,19:26,23-02-2026,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 12,5 EUR",,,,EUR,"100,72",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (New York Stock Exchange - NSY),,EUR,"-2,50",EUR,"113,22",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Nasdaq - NDQ),,EUR,"-2,50",EUR,"115,72",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Euronext Amsterdam - EAM),,EUR,"-2,50",EUR,"118,22",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Tradegate AG - TDG),,EUR,"-2,50",EUR,"120,72",
23-02-2026,10:43,31-01-2026,,,Comisión de conectividad con el mercado 2026 (Xetra - XET),,EUR,"-2,50",EUR,"123,22",
17-02-2026,07:36,17-02-2026,,,Degiro Cash Sweep Transfer,,EUR,"-1,86",EUR,"125,72",
17-02-2026,07:36,17-02-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,86 EUR",,,,EUR,"127,58",
17-02-2026,06:37,16-02-2026,,,Ingreso Cambio de Divisa,,EUR,"1,86",EUR,"125,72",
17-02-2026,06:37,16-02-2026,,,Retirada Cambio de Divisa,"1,1881",USD,"-2,21",USD,"0,00",
16-02-2026,07:12,13-02-2026,COSTCO WHOLESALE CORP,US22160K1051,Dividendo,,USD,"2,60",USD,"2,21",
16-02-2026,07:12,13-02-2026,COSTCO WHOLESALE CORP,US22160K1051,Retención del dividendo,,USD,"-0,39",USD,"-0,39",
13-01-2026,08:02,13-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-9,08",EUR,"123,86",
13-01-2026,08:02,13-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 9,08 EUR",,,,EUR,"132,94",
13-01-2026,06:35,12-01-2026,,,Ingreso Cambio de Divisa,,EUR,"9,08",EUR,"123,86",
13-01-2026,06:35,12-01-2026,,,Retirada Cambio de Divisa,"1,1696",USD,"-10,62",USD,"0,00",
12-01-2026,07:20,08-01-2026,SALESFORCE INC,US79466L3024,Dividendo,,USD,"0,83",USD,"10,62",
12-01-2026,07:20,08-01-2026,SALESFORCE INC,US79466L3024,Retención del dividendo,,USD,"-0,12",USD,"9,79",
12-01-2026,07:06,09-01-2026,ALTRIA GROUP INC,US02209S1033,Dividendo,,USD,"11,66",USD,"9,91",
12-01-2026,07:06,09-01-2026,ALTRIA GROUP INC,US02209S1033,Retención del dividendo,,USD,"-1,75",USD,"-1,75",
12-01-2026,03:52,12-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-4,92",EUR,"114,78",
12-01-2026,03:52,12-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 4,92 EUR",,,,EUR,"119,70",
10-01-2026,06:38,09-01-2026,,,Ingreso Cambio de Divisa,,EUR,"4,92",EUR,"114,78",
10-01-2026,06:38,09-01-2026,,,Retirada Cambio de Divisa,"1,1666",USD,"-5,74",USD,"0,00",
09-01-2026,06:57,08-01-2026,VICI PROPERTIES INC,US9256521090,Dividendo,,USD,"6,75",USD,"5,74",
09-01-2026,06:57,08-01-2026,VICI PROPERTIES INC,US9256521090,Retención del dividendo,,USD,"-1,01",USD,"-1,01",
08-01-2026,18:41,08-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"1872,61",EUR,"109,86",
08-01-2026,18:41,08-01-2026,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1.872,61 EUR",,,,EUR,"-1762,75",
08-01-2026,18:03,08-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-350,92",EUR,"109,86",
08-01-2026,18:03,08-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 350,92 EUR",,,,EUR,"460,78",
08-01-2026,17:59,08-01-2026,MERCADOLIBRE INC,US58733R1023,Ingreso Cambio de Divisa,"1,1627",USD,"2174,93",USD,"0,00",08d5184f-c049-4bc9-9db0-60ca8dc6d9f3
08-01-2026,17:59,08-01-2026,MERCADOLIBRE INC,US58733R1023,Retirada Cambio de Divisa,,EUR,"-1870,61",EUR,"109,86",08d5184f-c049-4bc9-9db0-60ca8dc6d9f3
08-01-2026,17:59,08-01-2026,MERCADOLIBRE INC,US58733R1023,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"1980,47",08d5184f-c049-4bc9-9db0-60ca8dc6d9f3
08-01-2026,17:59,08-01-2026,MERCADOLIBRE INC,US58733R1023,"Compra 1 MercadoLibre Inc@2.174,93 USD (US58733R1023)",,USD,"-2174,93",USD,"-2174,93",08d5184f-c049-4bc9-9db0-60ca8dc6d9f3
08-01-2026,15:30,08-01-2026,VICI PROPERTIES INC,US9256521090,Retirada Cambio de Divisa,"1,1688",USD,"-412,50",USD,"0,00",f9d7bd0a-a010-442e-8075-6446acfe51c7
08-01-2026,15:30,08-01-2026,VICI PROPERTIES INC,US9256521090,Ingreso Cambio de Divisa,,EUR,"352,92",EUR,"1982,47",f9d7bd0a-a010-442e-8075-6446acfe51c7
08-01-2026,15:30,08-01-2026,VICI PROPERTIES INC,US9256521090,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"1629,55",f9d7bd0a-a010-442e-8075-6446acfe51c7
08-01-2026,15:30,08-01-2026,VICI PROPERTIES INC,US9256521090,"Venta 15 VICI Properties Inc@27,5 USD (US9256521090)",,USD,"412,50",USD,"412,50",f9d7bd0a-a010-442e-8075-6446acfe51c7
08-01-2026,14:00,02-01-2026,,,Flatex Interest Income,,EUR,"0,00",EUR,"1631,55",
07-01-2026,08:40,07-01-2026,,,flatex Deposit,,EUR,"400,00",EUR,"1631,55",
05-01-2026,19:21,05-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-627,14",EUR,"1231,55",
05-01-2026,19:21,05-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 627,14 EUR",,,,EUR,"1858,69",
05-01-2026,19:04,05-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-431,23",EUR,"1231,55",
05-01-2026,19:04,05-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 431,23 EUR",,,,EUR,"1662,78",
05-01-2026,16:56,05-01-2026,UBER TECHNOLOGIES INC,US90353T1007,Retirada Cambio de Divisa,"1,1730",USD,"-738,00",USD,"0,00",e8a42c22-aa71-4a51-84de-a729290f9bb7
05-01-2026,16:56,05-01-2026,UBER TECHNOLOGIES INC,US90353T1007,Ingreso Cambio de Divisa,,EUR,"629,14",EUR,"1231,55",e8a42c22-aa71-4a51-84de-a729290f9bb7
