Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
08-01-2026,18:41,08-01-2026,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1.872,61 EUR",,,,EUR,"-1762,75",
08-01-2026,18:03,08-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-350,92",EUR,"109,86",
08-01-2026,18:03,08-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 350,92 EUR",,,,EUR,"460,78",
08-01-2026,17:59,08-01-2026,MERCADOLIBRE INC,US58733R1023,Ingreso Cambio de Divisa,"1,1627",USD,"2174,93",USD,"0,00",08d5184f-c049-4bc9-9db0-60ca8dc6d9f3
08-01-2026,17:59,08-01-2026,MERCADOLIBRE INC,US58733R1023,Retirada Cambio de Divisa,,EUR,"-1870,61",EUR,"109,86",08d5184f-c049-4bc9-9db0-60ca8dc6d9f3
08-01-2026,17:59,08-01-2026,MERCADOLIBRE INC,US58733R1023,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"1980,47",08d5184f-c049-4bc9-9db0-60ca8dc6d9f3
08-01-2026,17:59,08-01-2026,MERCADOLIBRE INC,US58733R1023,"Compra 1 MercadoLibre Inc@2.174,93 USD (US58733R1023)",,USD,"-2174,93",USD,"-2174,93",08d5184f-c049-4bc9-9db0-60ca8dc6d9f3
08-01-2026,15:30,08-01-2026,VICI PROPERTIES INC,US9256521090,Retirada Cambio de Divisa,"1,1688",USD,"-412,50",USD,"0,00",f9d7bd0a-a010-442e-8075-6446acfe51c7
08-01-2026,15:30,08-01-2026,VICI PROPERTIES INC,US9256521090,Ingreso Cambio de Divisa,,EUR,"352,92",EUR,"1982,47",f9d7bd0a-a010-442e-8075-6446acfe51c7
08-01-2026,15:30,08-01-2026,VICI PROPERTIES INC,US9256521090,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"1629,55",f9d7bd0a-a010-442e-8075-6446acfe51c7
