Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
05-12-2025,06:50,04-12-2025,,,Retirada Cambio de Divisa,"1,1673",USD,"-2,82",USD,"0,00",
04-12-2025,08:50,04-12-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 2,42 EUR",,,,EUR,"44,31",
04-12-2025,08:50,04-12-2025,,,Degiro Cash Sweep Transfer,,EUR,"2,42",EUR,"46,73",
04-12-2025,08:15,11-09-2025,MICROSOFT CORP,US5949181045,Dividendo,,USD,"3,32",USD,"2,82",
04-12-2025,08:15,11-09-2025,MICROSOFT CORP,US5949181045,Retención del dividendo,,USD,"-0,50",USD,"-0,50",
04-12-2025,06:46,03-12-2025,,,Retirada Cambio de Divisa,,EUR,"-2,42",EUR,"44,31",
04-12-2025,06:46,03-12-2025,,,Ingreso Cambio de Divisa,"1,1642",USD,"2,82",USD,"0,00",
03-12-2025,18:08,11-09-2025,MICROSOFT CORP,US5949181045,Retención del dividendo,,USD,"0,50",USD,"-2,82",
03-12-2025,18:06,11-09-2025,MICROSOFT CORP,US5949181045,Dividendo,,USD,"-3,32",USD,"-3,32",
03-12-2025,07:53,03-12-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,45 EUR",,,,EUR,"46,73",
03-12-2025,07:53,03-12-2025,,,Degiro Cash Sweep Transfer,,EUR,"-2,45",EUR,"44,28",
03-12-2025,06:49,02-12-2025,,,Ingreso Cambio de Divisa,,EUR,"2,45",EUR,"46,73",
03-12-2025,06:49,02-12-2025,,,Retirada Cambio de Divisa,"1,1654",USD,"-2,85",USD,"0,00",
02-12-2025,08:00,01-12-2025,VISA INC CLASS A,US92826C8394,Retención del dividendo,,USD,"-0,50",USD,"2,85",
02-12-2025,08:00,01-12-2025,VISA INC CLASS A,US92826C8394,Dividendo,,USD,"3,35",USD,"3,35",
27-11-2025,08:50,27-11-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 3,48 EUR",,,,EUR,"44,28",
27-11-2025,08:50,27-11-2025,,,Degiro Cash Sweep Transfer,,EUR,"-3,48",EUR,"40,80",
27-11-2025,07:20,26-11-2025,ISHARES CORE EURO STOXX 50 UCITS ETF,IE0008471009,Dividendo,,EUR,"3,48",EUR,"44,28",
18-11-2025,11:21,18-11-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1.571,58 EUR",,,,EUR,"40,80",
18-11-2025,11:21,18-11-2025,,,Degiro Cash Sweep Transfer,,EUR,"1571,58",EUR,"1612,38",
18-11-2025,09:49,18-11-2025,NOVO NORDISK A/S CLASS B,DK0062498333,Costes de transacción y/o externos de DEGIRO,,EUR,"-3,90",EUR,"40,80",09dbacf8-de92-4453-b3e7-c6dbccf8bb86
18-11-2025,09:49,18-11-2025,NOVO NORDISK A/S CLASS B,DK0062498333,"Compra 18 Novo Nordisk A/S Class B@41,455 EUR (DK0062498333)",,EUR,"-746,19",EUR,"44,70",09dbacf8-de92-4453-b3e7-c6dbccf8bb86
18-11-2025,09:48,18-11-2025,TELEFONICA SA,ES0178430E18,Spanish Transaction Tax,,EUR,"-1,64",EUR,"790,89",c7fd71f0-4e5c-4cfe-bea0-ed883e3b5939
18-11-2025,09:48,18-11-2025,TELEFONICA SA,ES0178430E18,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"792,53",c7fd71f0-4e5c-4cfe-bea0-ed883e3b5939
18-11-2025,09:48,18-11-2025,TELEFONICA SA,ES0178430E18,"Compra 222 Telefonica SA@3,684 EUR (ES0178430E18)",,EUR,"-817,85",EUR,"794,53",c7fd71f0-4e5c-4cfe-bea0-ed883e3b5939
18-11-2025,07:43,18-11-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,9 EUR",,,,EUR,"1612,38",
18-11-2025,07:43,18-11-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1,90",EUR,"1610,48",
18-11-2025,06:38,17-11-2025,,,Ingreso Cambio de Divisa,,EUR,"1,90",EUR,"1612,38",
18-11-2025,06:38,17-11-2025,,,Retirada Cambio de Divisa,"1,1620",USD,"-2,21",USD,"0,00",
17-11-2025,18:40,17-11-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1.422,71 EUR",,,,EUR,"1610,48",
17-11-2025,18:40,17-11-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1422,71",EUR,"187,77",
17-11-2025,15:30,17-11-2025,VISA INC CLASS A,US92826C8394,Retirada Cambio de Divisa,"1,1622",USD,"-1655,80",USD,"2,21",6891be2f-9e29-40d0-8139-b6d8df239ed7
17-11-2025,15:30,17-11-2025,VISA INC CLASS A,US92826C8394,Ingreso Cambio de Divisa,,EUR,"1424,71",EUR,"1610,48",6891be2f-9e29-40d0-8139-b6d8df239ed7
17-11-2025,15:30,17-11-2025,VISA INC CLASS A,US92826C8394,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"185,77",6891be2f-9e29-40d0-8139-b6d8df239ed7
17-11-2025,15:30,17-11-2025,VISA INC CLASS A,US92826C8394,"Venta 5 Visa Inc Class A@331,16 USD (US92826C8394)",,USD,"1655,80",USD,"1658,01",6891be2f-9e29-40d0-8139-b6d8df239ed7
17-11-2025,08:26,14-11-2025,COSTCO WHOLESALE CORP,US22160K1051,Dividendo,,USD,"2,60",USD,"2,21",
17-11-2025,08:26,14-11-2025,COSTCO WHOLESALE CORP,US22160K1051,Retención del dividendo,,USD,"-0,39",USD,"-0,39",
11-11-2025,08:32,11-11-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 61,02 EUR",,,,EUR,"187,77",
11-11-2025,08:32,11-11-2025,,,Degiro Cash Sweep Transfer,,EUR,"-61,02",EUR,"126,75",
11-11-2025,07:05,07-11-2025,BANCO BILBAO VIZCAYA ARGENTARIA SA,ES0113211835,Retención del dividendo,,EUR,"-7,30",EUR,"187,77",
11-11-2025,07:05,07-11-2025,BANCO BILBAO VIZCAYA ARGENTARIA SA,ES0113211835,Dividendo,,EUR,"38,40",EUR,"195,07",
11-11-2025,07:03,07-11-2025,CAIXABANK SA,ES0140609019,Retención del dividendo,,EUR,"-7,02",EUR,"156,67",
11-11-2025,07:03,07-11-2025,CAIXABANK SA,ES0140609019,Dividendo,,EUR,"36,94",EUR,"163,69",
06-11-2025,07:40,06-11-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 23,1 EUR",,,,EUR,"126,75",
06-11-2025,07:40,06-11-2025,,,Degiro Cash Sweep Transfer,,EUR,"-23,10",EUR,"103,65",
06-11-2025,06:47,03-11-2025,BANCO SANTANDER SA,ES0113900J37,Dividendo,,EUR,"28,52",EUR,"126,75",
06-11-2025,06:47,03-11-2025,BANCO SANTANDER SA,ES0113900J37,Retención del dividendo,,EUR,"-5,42",EUR,"98,23",
14-10-2025,07:34,14-10-2025,,,Degiro Cash Sweep Transfer,,EUR,"-8,54",EUR,"103,65",
14-10-2025,07:34,14-10-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 8,54 EUR",,,,EUR,"112,19",
14-10-2025,06:33,13-10-2025,,,Ingreso Cambio de Divisa,,EUR,"8,54",EUR,"103,65",
14-10-2025,06:33,13-10-2025,,,Retirada Cambio de Divisa,"1,1599",USD,"-9,91",USD,"0,00",
13-10-2025,07:19,10-10-2025,ALTRIA GROUP INC,US02209S1033,Dividendo,,USD,"11,66",USD,"9,91",
